Rank  Model                               Precision  Recall  F1      Image FPR  Mean FP/frame  Params(M)  GFLOPs  Latency(ms)  GPU(MB)  Input
----  ----------------------------------  ---------  ------  ------  ---------  -------------  ---------  ------  -----------  -------  -----
1     rfdetr-nano                         0.9226     0.8459  0.8826  0.0394     0.04           31.50      328.7   15.05        300      1024 
2     yolo11s-nimble-narwhal-v6.0.0       0.8526     0.8913  0.8715  0.1250     0.14           9.43       55.3    3.04         219      1024 
3     yolo11s-smoke-repro                 0.8898     0.8517  0.8703  0.1311     0.14           9.43       55.3    2.99         219      1024 
4     lwdetr-tiny                         0.9096     0.8299  0.8679  0.1015     0.10           11.73      78.0    11.18        138      1024 
5     deimv2-s                            0.8628     0.8645  0.8636  0.0652     0.07           9.66       49.3    8.45         100      640  
6     deimv2-s-1024                       0.8392     0.8676  0.8532  0.0864     0.09           9.66       218.0   45.46        185      1024 
7     rfdetr-nano-sahi                    0.8477     0.8472  0.8475  0.0591     0.06           -          -       -            -        -    
8     dfine-small-paper                   0.8933     0.8031  0.8458  0.0803     0.08           10.21      66.4    6.78         297      1024 
9     yolo26s-smoke-sahi                  0.8301     0.8593  0.8445  0.1038     0.11           -          -       -            -        -    
10    yolo11s-smoke-repro-sahi            0.8064     0.8734  0.8386  0.1811     0.21           -          -       -            -        -    
11    yolo11s-nimble-narwhal-v6.0.0-sahi  0.7839     0.8907  0.8339  0.1523     0.17           -          -       -            -        -    
12    yolo26s-smoke                       0.8324     0.8350  0.8337  0.0606     0.06           9.95       58.4    3.90         221      1024 
13    yolo26n-smoke-sahi                  0.7901     0.8638  0.8253  0.1674     0.18           -          -       -            -        -    
14    yolo26n-smoke                       0.8015     0.8465  0.8234  0.1061     0.11           2.50       15.2    3.63         124      1024 
15    deimv2-s-sahi                       0.7692     0.8459  0.8057  0.3265     0.40           -          -       -            -        -    
16    dfine-nano                          0.8366     0.7199  0.7739  0.1523     0.18           3.72       17.9    5.94         142      1024 
17    rtdetrv2-r18                        0.7105     0.7801  0.7437  0.1705     0.27           20.07      153.4   7.11         342      1024 
18    lwdetr-tiny-sahi                    0.6744     0.7813  0.7239  0.1068     0.12           -          -       -            -        -    
19    dfine-nano-sahi                     0.7271     0.6592  0.6915  0.1833     0.21           -          -       -            -        -    
20    dfine-small                         0.4720     0.6586  0.5499  0.2008     0.35           10.21      66.4    6.86         297      1024 
21    rtdetrv2-r18-sahi                   0.5809     0.4386  0.4998  0.1402     0.18           -          -       -            -        -    
22    dfine-small-sahi                    0.6438     0.3721  0.4716  0.1530     0.19           -          -       -            -        -    
